latitude,longitude,event_date,soil_wetness_gwet_top,soil_moisture_source
25.65308889,91.89803889,2024-07-01,1.0,NASA_POWER_MERRA2
25.65341111,91.89819444,2024-07-01,1.0,NASA_POWER_MERRA2
25.66315,91.90180278,2025-05-30,0.99,NASA_POWER_MERRA2
25.67032222,91.90487222,2025-05-30,0.99,NASA_POWER_MERRA2
25.67517222,91.8983,2024-06-30,0.99,NASA_POWER_MERRA2
25.42315556,91.86329167,2025-05-31,0.99,NASA_POWER_MERRA2
25.49551944,91.49585278,2025-07-02,0.95,NASA_POWER_MERRA2
25.28247222,91.36413333,2025-05-30,0.98,NASA_POWER_MERRA2
25.28090556,91.36584722,2025-05-30,0.98,NASA_POWER_MERRA2
25.62269444,91.16914444,2024-07-02,0.99,NASA_POWER_MERRA2
25.61276111,91.17375278,2024-07-02,0.99,NASA_POWER_MERRA2
25.66156667,91.13485278,2024-07-02,0.99,NASA_POWER_MERRA2
25.69150833,91.64160833,2025-05-29,0.98,NASA_POWER_MERRA2
25.69517778,91.64123611,2025-05-30,0.99,NASA_POWER_MERRA2
25.69688611,91.64176667,2025-06-25,0.97,NASA_POWER_MERRA2
25.70087778,91.642902,2024-10-08,0.97,NASA_POWER_MERRA2
25.69866667,91.64517222,2024-08-06,0.98,NASA_POWER_MERRA2
25.69683611,91.64485556,2024-08-06,0.98,NASA_POWER_MERRA2
25.69523333,91.64426944,2025-05-30,0.99,NASA_POWER_MERRA2
25.69463611,91.64577778,2025-05-30,0.99,NASA_POWER_MERRA2
25.68698889,91.64812222,2025-05-28,0.94,NASA_POWER_MERRA2
25.68690556,91.64915278,2025-05-28,0.94,NASA_POWER_MERRA2
25.688833,91.653639,2025-06-25,0.97,NASA_POWER_MERRA2
25.68798889,91.65838889,2024-05-28,0.99,NASA_POWER_MERRA2
25.68805,91.66653,2024-05-28,0.99,NASA_POWER_MERRA2
25.68822222,91.66746111,2025-06-11,0.94,NASA_POWER_MERRA2
25.69007,91.67085,2025-06-11,0.94,NASA_POWER_MERRA2
25.733262,91.675754,2025-06-11,0.94,NASA_POWER_MERRA2
25.762051,91.658959,2024-05-29,0.82,NASA_POWER_MERRA2
25.770935,91.656497,2024-05-29,0.82,NASA_POWER_MERRA2
25.791616,91.658242,2024-05-29,0.82,NASA_POWER_MERRA2
25.803984,91.659801,2024-08-28,0.92,NASA_POWER_MERRA2
25.700668,91.596815,2025-05-31,0.99,NASA_POWER_MERRA2
25.739454,91.572107,2025-05-31,0.99,NASA_POWER_MERRA2
23.744167,92.730472,2007-09-08,0.95,NASA_POWER_MERRA2
23.751528,91.604533,2018-06-04,0.93,NASA_POWER_MERRA2
23.751694,92.731528,2007-09-08,0.95,NASA_POWER_MERRA2
23.73888889,92.69638889,2024-05-28,0.93,NASA_POWER_MERRA2
23.74027778,92.69722222,2024-05-28,0.93,NASA_POWER_MERRA2
23.74066667,92.69336111,2024-05-28,0.93,NASA_POWER_MERRA2
23.7385748,92.6941941,2024-05-28,0.93,NASA_POWER_MERRA2
23.74472222,92.69277778,2024-05-28,0.93,NASA_POWER_MERRA2
23.74116667,92.69455556,2024-05-28,0.93,NASA_POWER_MERRA2
23.7375,92.69444444,2024-05-28,0.93,NASA_POWER_MERRA2
23.73361111,92.69388889,2024-05-28,0.93,NASA_POWER_MERRA2
23.73472222,92.695,2024-05-28,0.93,NASA_POWER_MERRA2
23.73305556,92.69944444,2024-05-28,0.93,NASA_POWER_MERRA2
23.74972222,92.69833333,2024-05-28,0.93,NASA_POWER_MERRA2
23.73111111,92.70222222,2024-05-28,0.93,NASA_POWER_MERRA2
23.73111111,92.70388889,2024-05-28,0.93,NASA_POWER_MERRA2
23.73333333,92.70527778,2024-05-28,0.93,NASA_POWER_MERRA2
23.73583333,92.69777778,2024-05-28,0.93,NASA_POWER_MERRA2
23.73132778,92.70821944,2024-05-28,0.93,NASA_POWER_MERRA2
23.72428333,92.70737778,2024-05-28,0.93,NASA_POWER_MERRA2
23.72276944,92.70665,2024-05-28,0.93,NASA_POWER_MERRA2
23.71446389,92.71146389,2024-05-28,0.93,NASA_POWER_MERRA2
23.71581111,92.70935,2024-05-28,0.93,NASA_POWER_MERRA2
23.7175,92.70666667,2024-05-28,0.93,NASA_POWER_MERRA2
23.71740833,92.70644167,2024-05-28,0.93,NASA_POWER_MERRA2
23.71721667,92.70777778,2024-05-28,0.93,NASA_POWER_MERRA2
23.71305556,92.70895833,2024-05-28,0.93,NASA_POWER_MERRA2
23.71523056,92.71529167,2024-05-28,0.93,NASA_POWER_MERRA2
23.73944444,92.71472222,2024-05-28,0.93,NASA_POWER_MERRA2
23.71138889,92.72444444,2024-05-28,0.93,NASA_POWER_MERRA2
23.71638889,92.72111111,2024-05-28,0.93,NASA_POWER_MERRA2
23.71444444,92.72861111,2024-05-28,0.93,NASA_POWER_MERRA2
23.71571389,92.72659722,2024-05-28,0.93,NASA_POWER_MERRA2
23.7104,92.72237778,2024-05-28,0.93,NASA_POWER_MERRA2
23.71,92.71611111,2024-05-28,0.93,NASA_POWER_MERRA2
23.70666667,92.71444444,2024-05-28,0.93,NASA_POWER_MERRA2
23.70527778,92.71138889,2024-05-28,0.93,NASA_POWER_MERRA2
23.70416667,92.71222222,2024-05-28,0.93,NASA_POWER_MERRA2
23.70027778,92.71611111,2024-05-28,0.93,NASA_POWER_MERRA2
23.69972222,92.71694444,2024-05-28,0.93,NASA_POWER_MERRA2
23.68027778,92.72472222,2024-05-28,0.93,NASA_POWER_MERRA2
23.67805556,92.72,2024-05-28,0.93,NASA_POWER_MERRA2
23.64333333,92.73444444,2024-05-28,0.93,NASA_POWER_MERRA2
23.64638889,92.72638889,2023-10-02,0.9,NASA_POWER_MERRA2
23.64638889,92.72527778,2024-05-28,0.93,NASA_POWER_MERRA2
23.63111111,92.72388889,2024-05-28,0.93,NASA_POWER_MERRA2
23.62833333,92.72333333,2024-05-28,0.93,NASA_POWER_MERRA2
23.62277778,92.72444444,2024-05-28,0.93,NASA_POWER_MERRA2
23.62194444,92.72305556,2024-05-28,0.93,NASA_POWER_MERRA2
23.62083333,92.7225,2024-05-28,0.93,NASA_POWER_MERRA2
23.61916667,92.7225,2024-05-28,0.93,NASA_POWER_MERRA2
23.61972222,92.72527778,2024-05-28,0.93,NASA_POWER_MERRA2
23.62027778,92.72555556,2024-05-28,0.93,NASA_POWER_MERRA2
23.62027778,92.72611111,2024-05-28,0.93,NASA_POWER_MERRA2
23.62111111,92.72444444,2024-05-28,0.93,NASA_POWER_MERRA2
23.67583333,92.715,2024-05-28,0.93,NASA_POWER_MERRA2
23.67444444,92.71472222,2024-05-28,0.93,NASA_POWER_MERRA2
23.67388889,92.71472222,2024-05-28,0.93,NASA_POWER_MERRA2
23.672069,92.7099293,2024-05-28,0.93,NASA_POWER_MERRA2
23.684301,92.715511,2024-05-28,0.93,NASA_POWER_MERRA2
23.70638889,92.72055556,2024-05-28,0.93,NASA_POWER_MERRA2
23.70416667,92.72,2024-05-28,0.93,NASA_POWER_MERRA2
23.69,92.72361111,2024-05-28,0.93,NASA_POWER_MERRA2
23.68361111,92.72277778,2024-05-28,0.93,NASA_POWER_MERRA2
23.67138889,92.72361111,2024-05-28,0.93,NASA_POWER_MERRA2
23.66666667,92.72388889,2024-05-28,0.93,NASA_POWER_MERRA2
23.635,92.72361111,2024-05-28,0.93,NASA_POWER_MERRA2
23.43277778,92.76111111,2024-05-28,0.93,NASA_POWER_MERRA2
23.46777778,92.74111111,2024-05-28,0.93,NASA_POWER_MERRA2
