latitude,longitude,event_date,rainfall_mm_day,elevation_m,slope_degrees,soil_wetness_gwet_top,soil_moisture_source,nearest_landslide_distance_km,nearest_landslide_latitude,nearest_landslide_longitude
26.863531,92.554523,2025-06-01,11.47499942779541,104.0,1.5095270002735288,0.81,NASA_POWER_MERRA2,18.997950420361214,27.018342,92.6356
25.581621,92.623774,2007-07-25,135.9449920654297,720.0,12.946519289312022,0.94,NASA_POWER_MERRA2,29.987483435962996,25.37539167,92.431275
26.166236,94.118349,2016-07-01,22.17000198364257,294.0,14.203597427432593,0.9,NASA_POWER_MERRA2,14.997117790569066,26.10694722,94.25328889
28.42937,93.659441,2025-06-01,7.77500057220459,2945.0,36.934278635907546,0.86,NASA_POWER_MERRA2,122.02772778979246,27.339267,93.802581
24.686894,94.257312,2024-05-28,80.05500793457031,1444.0,31.187749878253733,0.89,NASA_POWER_MERRA2,27.695231191461577,24.9252,94.3371
25.675447,89.949889,2025-07-06,0.559999942779541,103.0,16.665741309979975,0.88,NASA_POWER_MERRA2,34.49913980498093,25.38163333,90.06033889
28.130256,97.031184,2016-05-22,44.40499496459961,1387.0,42.79372386341867,0.93,NASA_POWER_MERRA2,234.40747299316223,27.715081,94.692035
27.509414,95.905712,2009-07-01,25.509998321533203,164.0,4.972358392400693,0.84,NASA_POWER_MERRA2,121.75067290223176,27.715081,94.692035
27.21669,95.132797,2025-07-07,5.929999351501465,109.0,1.0675202709770988,0.89,NASA_POWER_MERRA2,70.44334617902676,27.715081,94.692035
23.64605,91.197694,2024-07-02,59.07999801635742,18.0,5.150652185902698,0.95,NASA_POWER_MERRA2,19.005238312695134,23.802772,91.272189
25.540839,92.911584,2024-05-28,57.83500671386719,245.0,10.779771619960355,0.92,NASA_POWER_MERRA2,21.351743673161465,25.366255,92.823037
29.035075,94.632377,2024-07-01,8.59000015258789,3885.0,38.379067082746815,0.97,NASA_POWER_MERRA2,146.8928328579165,27.715081,94.692035
25.880601,90.032445,2024-07-02,12.829999923706056,83.0,8.767251443500896,0.96,NASA_POWER_MERRA2,55.553178327496944,25.38163333,90.06033889
26.357941,94.362581,2025-06-01,5.644999504089356,406.0,11.727024027980926,0.83,NASA_POWER_MERRA2,7.456027831018962,26.42186,94.3852
27.286547,93.06638,2024-07-02,14.539999008178713,878.0,27.122068499384515,0.92,NASA_POWER_MERRA2,52.01943719050767,27.018342,92.6356
25.958958,90.361444,2024-05-28,28.88999938964844,177.0,6.990494340294632,0.85,NASA_POWER_MERRA2,65.53901858908462,25.45939722,90.70860278
23.983639,91.873351,2024-05-28,28.619997024536133,91.0,10.698770358091483,0.92,NASA_POWER_MERRA2,23.34012107928954,24.16966667,91.76686111
24.92371,92.897921,2020-02-02,0.0,61.0,4.222687118252763,0.69,NASA_POWER_MERRA2,17.616234109505356,25.047833,92.789306
29.083635,94.769225,2024-07-06,23.05000114440918,2561.0,22.033339392240457,0.97,NASA_POWER_MERRA2,152.36364070274038,27.715081,94.692035
25.80429,91.356515,2025-06-01,24.329998016357425,296.0,27.097435772987733,0.84,NASA_POWER_MERRA2,11.648761560457945,25.757752,91.252285
26.503588,92.398243,2025-06-01,24.935001373291016,61.0,1.3502244696996155,0.82,NASA_POWER_MERRA2,50.91852599535573,26.88969,92.12266
25.835309,93.083196,2023-09-17,19.249998092651367,152.0,8.588925239163549,0.6,NASA_POWER_MERRA2,15.939514923583307,25.69814,93.129423
23.367151,92.987295,2024-07-02,39.73499298095703,1294.0,34.29242363523321,0.96,NASA_POWER_MERRA2,5.727525002634576,23.35406111,93.04156111
25.693512,92.304079,2021-06-06,43.53499984741211,907.0,2.263636058426967,0.82,NASA_POWER_MERRA2,25.79574051726018,25.54261,92.10867
27.439583,94.008614,2024-05-28,55.720001220703125,1404.0,21.086199125980364,0.77,NASA_POWER_MERRA2,23.1993383325524,27.339267,93.802581
26.574001,91.689929,2016-04-23,17.419998168945312,67.0,3.016961309815993,0.78,NASA_POWER_MERRA2,27.05415737559902,26.37456,91.84561
