sl_no,latitude,longitude,event_date,rainfall_mm_day,elevation_m,slope_degrees,historical_landslide,rainfall_source
23992,23.4807,92.7025,2025-09-13,18.625,997.0,25.34952033151192,1,IMERG_Final_V07
23993,23.4855,92.7033,2024-07-02,39.55999755859375,978.0,13.326469949385988,1,IMERG_Final_V07
23995,23.4946,92.7044,2024-08-25,10.745000839233398,929.0,43.53560155636589,1,IMERG_Final_V07
23999,23.239287,92.74818,2025-06-02,2.419999837875366,748.0,11.038532615965034,1,IMERG_Final_V07
24000,23.237356,92.744978,2025-06-05,0.0,774.0,7.2338446967252255,1,IMERG_Final_V07
24002,23.230114,92.740067,2025-06-02,2.419999837875366,781.0,15.36952380130432,1,IMERG_Final_V07
24003,23.229731,92.73968,2025-05-24,0.5449999570846558,786.0,16.2287367059342,1,IMERG_Final_V07
24004,23.226843,92.740266,2025-06-02,2.419999837875366,757.0,16.2287367059342,1,IMERG_Final_V07
24005,23.225357,92.74039,2025-06-06,0.4300000071525574,756.0,10.21937711459359,1,IMERG_Final_V07
24007,23.204595,92.73861,2025-06-03,57.28499221801758,795.0,33.56563872420532,1,IMERG_Final_V07
24014,23.201335,92.734857,2025-06-02,2.419999837875366,774.0,24.38870074689113,1,IMERG_Final_V07
24015,23.201614,92.734453,2025-06-02,2.419999837875366,763.0,27.029504599267472,1,IMERG_Final_V07
24016,23.201759,92.734328,2025-06-02,2.419999837875366,763.0,27.029504599267472,1,IMERG_Final_V07
24018,23.199924,92.73481,2025-06-02,2.125,752.0,20.001783914715944,1,IMERG_Final_V07
24020,23.197825,92.73502,2025-06-15,30.549999237060547,741.0,12.260147486012336,1,IMERG_Final_V07
24023,23.193237,92.734819,2025-06-02,2.125,793.0,26.00818191569552,1,IMERG_Final_V07
24024,23.191775,92.734778,2025-06-06,0.0,785.0,17.752790161946685,1,IMERG_Final_V07
24025,23.191747,92.73459,2025-06-02,2.125,785.0,17.752790161946685,1,IMERG_Final_V07
24028,23.188245,92.734327,2025-06-02,2.125,812.0,26.32132942828673,1,IMERG_Final_V07
24030,23.18675,92.735178,2025-06-02,2.125,850.0,26.577778623734844,1,IMERG_Final_V07
24031,23.186501,92.735632,2025-09-13,17.579999923706055,838.0,31.215386668546028,1,IMERG_Final_V07
24032,23.186296,92.7356,2025-09-13,17.579999923706055,838.0,31.215386668546028,1,IMERG_Final_V07
24033,23.186133,92.735682,2025-09-13,17.579999923706055,850.0,35.795759914707084,1,IMERG_Final_V07
24034,23.184091,92.738895,2025-06-01,124.0999755859375,781.0,27.078936947526696,1,IMERG_Final_V07
24041,23.174341,92.740855,2025-09-13,17.579999923706055,786.0,23.19506859014077,1,IMERG_Final_V07
24048,23.164812,92.743396,2025-06-02,2.125,800.0,25.80936745770508,1,IMERG_Final_V07
24059,23.152289,92.746243,2025-05-30,176.64999389648438,891.0,9.462322208025618,1,IMERG_Final_V07
24068,23.147798,92.749742,2025-09-13,17.579999923706055,905.0,18.64821573021375,1,IMERG_Final_V07
24069,23.144687,92.750609,2025-06-06,0.0,861.0,9.462322208025618,1,IMERG_Final_V07
24072,23.141474,92.750577,2025-05-29,50.25999450683594,838.0,31.002719133873985,1,IMERG_Final_V07
24074,23.139887,92.751646,2025-05-30,176.64999389648438,860.0,13.421509132977462,1,IMERG_Final_V07
24081,23.134961,92.747843,2025-05-30,176.64999389648438,851.0,32.667159071642764,1,IMERG_Final_V07
24086,23.131999,92.744413,2025-09-13,17.579999923706055,807.0,28.280269845499703,1,IMERG_Final_V07
24100,23.11239,92.745417,2025-06-01,124.0999755859375,838.0,15.609525869125669,1,IMERG_Final_V07
24102,23.113126,92.74564,2025-06-02,2.125,833.0,22.61986494804043,1,IMERG_Final_V07
24104,23.108018,92.746279,2025-05-30,176.64999389648438,763.0,15.042369244334246,1,IMERG_Final_V07
24105,23.10565,92.745979,2025-05-30,176.64999389648438,711.0,18.87922133905067,1,IMERG_Final_V07
24107,23.104623,92.747711,2025-06-01,124.0999755859375,739.0,21.260377126997213,1,IMERG_Final_V07
24111,23.100785,92.751508,2025-05-30,176.64999389648438,780.0,13.262676008304846,1,IMERG_Final_V07
24112,23.099615,92.752199,2025-06-06,0.0,780.0,9.368915578454835,1,IMERG_Final_V07
24114,23.09459,92.753733,2025-09-13,19.785001754760746,756.0,9.870926939134982,1,IMERG_Final_V07
24115,23.092076,92.752286,2025-09-13,19.785001754760746,754.0,20.43931757325825,1,IMERG_Final_V07
24120,23.074255,92.76222,2025-06-01,160.22500610351562,771.0,23.132182561931256,1,IMERG_Final_V07
24122,23.069585,92.765797,2025-05-31,48.28499603271485,800.0,12.638224684699054,1,IMERG_Final_V07
24123,23.067473,92.767201,2025-05-30,191.42501831054688,843.0,24.16881343581011,1,IMERG_Final_V07
